Date,Rainfall_mm
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.4079237
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.31489587
2022-06-11,25.312544
2022-06-12,1.0429548
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,1.6993898
2022-06-22,0.0
2022-06-23,1.3727151
2022-06-24,0.7622667
2022-06-25,0.28025156
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,1.4179534
2022-06-29,0.29742923
2022-06-30,0.20433643
2022-07-01,8.863157
2022-07-02,5.581251
2022-07-03,3.5839007
2022-07-04,3.5084345
2022-07-05,10.389322
2022-07-06,20.015976
2022-07-07,14.954911
2022-07-08,14.920239
2022-07-09,10.81035
2022-07-10,19.03299
2022-07-11,20.592686
2022-07-12,61.187202
2022-07-13,49.105923
2022-07-14,53.27754
2022-07-15,18.26756
2022-07-16,9.933362
2022-07-17,4.2704754
2022-07-18,1.7047725
2022-07-19,3.7806094
2022-07-20,0.49339136
2022-07-21,0.38213477
2022-07-22,1.2760899
2022-07-23,0.21047944
2022-07-24,4.879547
2022-07-25,0.9119093
2022-07-26,3.9997816
2022-07-27,1.0439141
2022-07-28,41.190487
2022-07-29,2.8663383
2022-07-30,0.7020728
2022-07-31,0.15434411
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,4.3236146
2022-08-05,8.745397
2022-08-06,13.1392975
2022-08-07,1.246243
2022-08-08,30.596848
2022-08-09,12.8896475
2022-08-10,24.568329
2022-08-11,14.293109
2022-08-12,3.752655
2022-08-13,4.986352
2022-08-14,2.6980357
2022-08-15,2.0983963
2022-08-16,9.771191
2022-08-17,1.437745
2022-08-18,9.50326
2022-08-19,3.0693567
2022-08-20,0.6169636
2022-08-21,0.54786974
2022-08-22,0.45011628
2022-08-23,1.3605562
2022-08-24,1.7834072
2022-08-25,2.1372826
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,9.381432
2022-09-01,12.639305
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,8.541005
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,15.676468
2022-09-08,40.58751
2022-09-09,1.9902067
2022-09-10,0.0
2022-09-11,0.5029324
2022-09-12,32.11082
2022-09-13,6.0120306
2022-09-14,9.380907
2022-09-15,4.0104427
2022-09-16,13.487451
2022-09-17,28.072872
2022-09-18,1.7307981
2022-09-19,0.7705239
2022-09-20,4.3224177
2022-09-21,1.742973
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.46646008
2022-09-26,0.0
2022-09-27,0.30392277
2022-09-28,0.4876119
2022-09-29,0.5778576
2022-09-30,21.784046
2022-10-01,40.434307
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,7.070372
2022-10-06,3.982164
2022-10-07,3.3930137
2022-10-08,0.9473947
2022-10-09,3.819626
2022-10-10,0.0
2022-10-11,13.129599
2022-10-12,5.4770055
2022-10-13,0.28438142
2022-10-14,1.0505061
2022-10-15,65.18333
2022-10-16,0.0
2022-10-17,4.6795154
2022-10-18,92.63134
2022-10-19,6.073997
2022-10-20,11.283295
2022-10-21,17.124947
2022-10-22,1.6296535
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
