date,grid_id,risk_score,risk_level,trend,anomaly,temporal_rainfall,vulnerability
2026-08-27,PUNE_G003,45.0,MODERATE,STABLE,36.7,27.7,80.62
2026-08-27,PUNE_G004,37.8,LOW,STABLE,34.9,28.9,53.83
2026-08-28,PUNE_G001,31.1,LOW,STABLE,27.9,24.5,44.69
2026-08-28,PUNE_G002,25.2,LOW,STABLE,21.2,17.9,41.07
2026-08-28,PUNE_G003,46.7,MODERATE,STABLE,40.4,27.9,80.62
2026-08-28,PUNE_G004,34.6,LOW,STABLE,29.7,26.0,53.83
2026-08-29,PUNE_G001,27.7,LOW,STABLE,21.8,22.5,44.69
2026-08-29,PUNE_G002,27.5,LOW,STABLE,23.8,21.6,41.07
2026-08-29,PUNE_G003,43.0,MODERATE,STABLE,30.9,29.9,80.62
2026-08-29,PUNE_G004,30.4,LOW,STABLE,23.9,20.6,53.83
2026-08-30,PUNE_G001,29.7,LOW,STABLE,26.2,22.4,44.69
2026-08-30,PUNE_G002,23.9,LOW,STABLE,20.2,15.0,41.07
2026-08-30,PUNE_G003,43.7,MODERATE,STABLE,36.9,23.2,80.62
2026-08-30,PUNE_G004,33.0,LOW,STABLE,27.9,23.2,53.83
2026-08-31,PUNE_G001,27.9,LOW,STABLE,23.3,20.8,44.69
2026-08-31,PUNE_G002,26.4,LOW,STABLE,22.1,20.7,41.07
2026-08-31,PUNE_G003,40.8,MODERATE,STABLE,28.7,25.9,80.62
2026-08-31,PUNE_G004,30.1,LOW,STABLE,23.3,20.4,53.83
